OrderId,vehicleCode,modelId.name,SalesModel,vehicleColor.code,vehicleColor.name,description,,modelId.wrntyLimitationKm,etaDealer
502642,,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,,,,2026-10-07T00:00:00.000Z
502721,,OMODA5 HEV Premium,T71506JCLMH0009,Carbon crystal black | Black,Carbon crystal black | Black,,,,2026-09-30T00:00:00.000Z
502753,,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray | Black,Phantom gray | Black,,,,2026-09-12T00:00:00.000Z
503045,,OMODA5 HEV Premium,T71506JGVMH0009,Phantom gray,Phantom gray,,,,2026-09-20T00:00:00.000Z
503515,,OMODA9 PHEV Premium,T6480J1BXLX0018,Khaki white,Khaki white,,,,2026-10-17T00:00:00.000Z
503637,,OMODA9 PHEV Premium,T6480J1BXLX0018,Khaki white,Khaki white,,,,2026-09-27T00:00:00.000Z
504004,,OMODA9 PHEV Premium,T6480J1BXLX0018,Khaki white,Khaki white,,,,2026-10-08T00:00:00.000Z
